topic,rank,word,phi,raw_weight
T6,39,release,0.00402225,55.1000
T6,40,shows,0.00402225,55.1000
T6,41,sales,0.00387626,53.1000
T6,42,entertainment,0.00379899,52.0415
T6,43,donated,0.00373026,51.1000
T6,44,drew,0.00365726,50.1000
T6,45,held,0.00358426,49.1000
T6,46,albums,0.00351126,48.1000
T6,47,chinese,0.00343826,47.1000
T6,48,named,0.00343826,47.1000
T6,49,became,0.00343826,47.1000
T6,50,april,0.00336526,46.1000
T7,1,유튜브,0.0210477,254.0999
T7,2,공식,0.019256,232.4698
T7,3,홍보대사,0.0139241,168.1000
T7,4,2026년,0.01276,154.0457
T7,5,채널,0.0122675,148.1000
T7,6,팬클럽,0.0120639,145.6430
T7,7,8월,0.0113879,137.4815
T7,8,콘텐츠,0.0104626,126.3106
T7,9,활동,0.0100899,121.8111
T7,10,위촉,0.00986532,119.1000
T7,11,기부,0.00911052,109.9876
T7,12,조회수,0.00749202,90.4481
T7,13,팬덤,0.00674425,81.4206
T7,14,구독자,0.00671769,81.1000
T7,15,영상,0.00615149,74.2644
T7,16,공개,0.00602539,72.7421
T7,17,홍보,0.0059928,72.3486
T7,18,보도,0.00554105,66.8949
T7,19,2020년,0.00522476,63.0764
T7,20,7월,0.00521997,63.0186
T7,21,9월,0.00475578,57.4146
T7,22,명을,0.00471325,56.9011
T7,23,기준,0.00461515,55.7168
T7,24,팬카페,0.00448122,54.1000
T7,25,멤버,0.00425578,51.3783
T7,26,지원,0.00423272,51.0999
T7,27,10월,0.00418157,50.4824
T7,28,뮤직비디오,0.00402005,48.5325
T7,29,3월,0.00369639,44.6250
T7,30,함께,0.00362977,43.8208
T7,31,2025년,0.00361203,43.6066
T7,32,회원,0.00357007,43.1000
T7,33,돌파,0.00356633,43.0549
T7,34,2023년,0.0035118,42.3965
T7,35,참여,0.00329781,39.8131
T7,36,데뷔,0.00324848,39.2176
T7,37,위한,0.00315655,38.1078
T7,38,지역,0.00314761,37.9998
T7,39,1억,0.00308814,37.2819
T7,40,원을,0.00305509,36.8828
T7,41,생일,0.00302519,36.5219
T7,42,맞아,0.00293023,35.3754
T7,43,임영웅,0.00285676,34.4885
T7,44,2021년,0.00283785,34.2602
T7,45,관광,0.00275346,33.2414
T7,46,누적,0.00268897,32.4628
T7,47,팬들,0.00264507,31.9328
T7,48,운영,0.00260911,31.4988
T7,49,회를,0.00258388,31.1941
T7,50,2024년,0.00254944,30.7784
T8,1,기록,0.0325789,457.2241
T8,2,1위,0.0290469,407.6557
T8,3,앨범,0.0220957,310.0999
T8,4,차트,0.0178205,250.1000
T8,5,발매,0.0161806,227.0847
T8,6,데뷔,0.0155325,217.9895
T8,7,빌보드,0.0132304,185.6799
T8,8,최초,0.0122205,171.5072
T8,9,k팝,0.0121949,171.1485
T8,10,판매량,0.0121202,170.1000
T8,11,판매,0.0116298,163.2174
T8,12,그룹,0.00981878,137.8005
T8,13,음반,0.0096737,135.7644
T8,14,이상,0.00929009,130.3806
T8,15,아티스트,0.009043,126.9129
T8,16,최고,0.00848017,119.0139
T8,17,누적,0.00825921,115.9129
T8,18,기준,0.00780107,109.4832
T8,19,세웠,0.00756,106.1000
T8,20,싱글,0.00729921,102.4399
T8,21,연속,0.00724731,101.7115
T8,22,초동,0.00720374,101.1000
T8,23,스트리밍,0.00720373,101.0999
T8,24,멜론,0.00663371,93.1000
T8,25,일본,0.00650168,91.2471
T8,26,한국,0.00625574,87.7955
T8,27,걸그룹,0.00625444,87.7772
T8,28,역대,0.00613493,86.0999
T8,29,올랐,0.00612302,85.9328
T8,30,국내,0.0056145,78.7960
T8,31,수상,0.00555247,77.9255
T8,32,ep,0.00507303,71.1969
T8,33,오리콘,0.00503531,70.6675
T8,34,2024년,0.00494227,69.3617
T8,35,장을,0.00492362,69.1000
