doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
333,지코,spillover,65,22
334,지코,spillover,66,26
335,지코,spillover,67,17
336,지코,spillover,68,19
337,지코,spillover,69,25
338,지코,spillover,70,23
339,지코,spillover,71,21
340,지코,spillover,72,19
341,박재범,loyalty,0,15
342,박재범,loyalty,1,13
343,박재범,loyalty,2,8
344,박재범,loyalty,3,19
345,박재범,loyalty,4,20
346,박재범,loyalty,5,19
347,박재범,loyalty,6,21
348,박재범,loyalty,7,9
349,박재범,loyalty,8,7
350,박재범,loyalty,9,14
351,박재범,loyalty,10,12
352,박재범,loyalty,11,25
353,박재범,loyalty,12,14
354,박재범,loyalty,13,33
355,박재범,loyalty,14,11
356,박재범,loyalty,15,11
357,박재범,loyalty,16,6
358,박재범,loyalty,17,20
359,박재범,loyalty,18,10
360,박재범,loyalty,19,15
361,박재범,loyalty,20,27
362,박재범,loyalty,21,10
363,박재범,loyalty,22,10
364,박재범,loyalty,23,10
365,박재범,loyalty,24,22
366,박재범,loyalty,25,10
367,박재범,loyalty,26,7
368,박재범,loyalty,27,10
369,박재범,loyalty,28,7
370,박재범,loyalty,29,8
371,박재범,loyalty,30,10
372,박재범,loyalty,31,9
373,박재범,loyalty,32,9
374,박재범,loyalty,33,14
375,박재범,loyalty,34,8
376,박재범,loyalty,35,10
377,박재범,loyalty,36,7
378,박재범,loyalty,37,15
379,박재범,loyalty,38,16
380,박재범,loyalty,39,13
381,박재범,loyalty,40,16
382,박재범,loyalty,41,19
383,박재범,loyalty,42,11
384,박재범,loyalty,43,13
385,박재범,loyalty,44,35
386,박재범,loyalty,45,24
387,박재범,loyalty,46,21
388,박재범,loyalty,47,24
389,박재범,loyalty,48,20
390,박재범,spillover,0,13
391,박재범,spillover,1,10
392,박재범,spillover,2,17
393,박재범,spillover,3,11
394,박재범,spillover,4,12
395,박재범,spillover,5,16
396,박재범,spillover,6,14
397,박재범,spillover,7,13
398,박재범,spillover,8,14
399,박재범,spillover,9,19
400,박재범,spillover,10,10
401,박재범,spillover,11,19
402,박재범,spillover,12,12
403,박재범,spillover,13,9
404,박재범,spillover,14,6
405,박재범,spillover,15,9
406,박재범,spillover,16,11
407,박재범,spillover,17,13
408,박재범,spillover,18,16
409,박재범,spillover,19,14
410,박재범,spillover,20,32
411,박재범,spillover,21,18
412,박재범,spillover,22,25
413,박재범,spillover,23,16
414,박재범,spillover,24,18
415,박재범,spillover,25,12
416,박재범,spillover,26,7
417,박재범,spillover,27,15
418,박재범,spillover,28,9
419,박재범,spillover,29,11
420,박재범,spillover,30,7
421,박재범,spillover,31,12
422,박재범,spillover,32,15
423,박재범,spillover,33,10
424,박재범,spillover,34,13
425,박재범,spillover,35,14
426,박재범,spillover,36,9
427,박재범,spillover,37,18
428,박재범,spillover,38,19
429,박재범,spillover,39,12
430,박재범,spillover,40,17
431,박재범,spillover,41,11
432,박재범,spillover,42,13
433,박재범,spillover,43,37
434,박재범,spillover,44,48
435,박재범,spillover,45,21
436,박재범,spillover,46,19
437,박재범,spillover,47,11
438,박재범,spillover,48,9
439,박재범,spillover,49,10
440,박재범,spillover,50,12
441,박재범,spillover,51,20
442,박재범,spillover,52,36
443,박재범,spillover,53,17
444,박재범,spillover,54,21
445,박재범,spillover,55,39
446,박재범,spillover,56,12
447,박재범,spillover,57,10
448,박재범,spillover,58,18
449,박재범,spillover,59,25
450,박재범,spillover,60,22
451,다이나믹듀오,loyalty,0,16
452,다이나믹듀오,loyalty,1,13
453,다이나믹듀오,loyalty,2,15
454,다이나믹듀오,loyalty,3,13
455,다이나믹듀오,loyalty,4,15
456,다이나믹듀오,loyalty,5,21
457,다이나믹듀오,loyalty,6,29
458,다이나믹듀오,loyalty,7,17
459,다이나믹듀오,loyalty,8,6
460,다이나믹듀오,loyalty,9,9
461,다이나믹듀오,loyalty,10,11
462,다이나믹듀오,loyalty,11,29
463,다이나믹듀오,loyalty,12,24
464,다이나믹듀오,loyalty,13,34
465,다이나믹듀오,loyalty,14,19
466,다이나믹듀오,loyalty,15,10
467,다이나믹듀오,loyalty,16,10
468,다이나믹듀오,loyalty,17,8
469,다이나믹듀오,loyalty,18,11
470,다이나믹듀오,loyalty,19,9
471,다이나믹듀오,loyalty,20,9
472,다이나믹듀오,loyalty,21,17
473,다이나믹듀오,loyalty,22,19
474,다이나믹듀오,loyalty,23,34
475,다이나믹듀오,loyalty,24,34
476,다이나믹듀오,loyalty,25,22
477,다이나믹듀오,spillover,0,13
478,다이나믹듀오,spillover,1,22
479,다이나믹듀오,spillover,2,13
480,다이나믹듀오,spillover,3,22
481,다이나믹듀오,spillover,4,11
482,다이나믹듀오,spillover,5,15
483,다이나믹듀오,spillover,6,19
484,다이나믹듀오,spillover,7,23
485,다이나믹듀오,spillover,8,13
486,다이나믹듀오,spillover,9,14
487,다이나믹듀오,spillover,10,12
488,다이나믹듀오,spillover,11,13
489,다이나믹듀오,spillover,12,25
490,다이나믹듀오,spillover,13,25
491,다이나믹듀오,spillover,14,33
492,다이나믹듀오,spillover,15,19
493,다이나믹듀오,spillover,16,14
494,다이나믹듀오,spillover,17,13
495,다이나믹듀오,spillover,18,13
496,다이나믹듀오,spillover,19,13
497,다이나믹듀오,spillover,20,21
498,다이나믹듀오,spillover,21,33
499,다이나믹듀오,spillover,22,7
500,다이나믹듀오,spillover,23,6
501,다이나믹듀오,spillover,24,17
502,다이나믹듀오,spillover,25,14
503,다이나믹듀오,spillover,26,16
504,다이나믹듀오,spillover,27,19
505,다이나믹듀오,spillover,28,10
506,다이나믹듀오,spillover,29,13
507,다이나믹듀오,spillover,30,8
508,다이나믹듀오,spillover,31,10
509,다이나믹듀오,spillover,32,33
510,다이나믹듀오,spillover,33,37
511,다이나믹듀오,spillover,34,21
512,다이나믹듀오,spillover,35,9
513,다이나믹듀오,spillover,36,14
514,다이나믹듀오,spillover,37,29
515,다이나믹듀오,spillover,38,27
516,다이나믹듀오,spillover,39,35
517,다이나믹듀오,spillover,40,29
518,다이나믹듀오,spillover,41,15
519,에픽하이,loyalty,0,13
520,에픽하이,loyalty,1,15
521,에픽하이,loyalty,2,14
522,에픽하이,loyalty,3,11
523,에픽하이,loyalty,4,8
524,에픽하이,loyalty,5,16
525,에픽하이,loyalty,6,23
526,에픽하이,loyalty,7,26
527,에픽하이,loyalty,8,7
